	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
arp3	14728	24852	12419	12034	1918	2854	17119	17119	13516	5052	10302	5598
arp3b	131	153	109	90	35	30	44	44	38	13	50	19
arp5	140	171	82	93	82	126	365	365	119	26	89	36
arp6	928	1698	725	662	147	139	950	950	809	309	651	206
arp8	580	925	660	514	108	122	383	383	457	180	351	180
arpc2	4234	4240	3312	2176	900	1486	3736	3736	8786	3159	5511	3258
arpc5	3987	4065	3708	2220	817	1425	6005	6005	13550	4940	8513	4307
arrb1	638	971	730	863	325	494	1256	1256	1429	466	1113	717
arrb2	1044	1331	981	896	600	595	1042	1042	1117	398	675	347
arrd2	136	159	65	114	413	365	1238	1238	152	42	80	48
arrd3	1043	1015	191	597	44	89	832	832	195	67	201	92
arrd4	21	16	7	18	10	16	49	49	36	17	27	17
arsa	1383	1700	1801	904	370	542	1149	1149	1936	585	1250	578
arsb	1033	920	902	566	391	964	2269	2269	1764	723	1444	911
arsk	105	131	105	67	16	34	159	159	1337	480	985	439
arv1	69	67	53	29	12	27	111	111	172	48	98	39
arvc	217	219	156	164	365	292	557	557	210	45	332	85
asah1	1273	1191	1714	975	468	1086	2994	2994	1535	685	1557	817
asap1	280	192	174	118	220	421	1775	1775	488	116	317	183
asap2	19	34	22	14	20	36	81	81	45	15	54	28
asap3	57	60	60	25	56	51	111	111	20	11	14	8
asb1	106	112	48	67	66	125	753	753	64	15	50	21
asb13	244	270	212	149	35	44	194	194	328	105	319	133
asb3	50	62	40	47	13	36	369	369	140	58	140	53
asb6	314	410	342	186	174	184	476	476	377	121	200	101
asb8	573	682	454	333	101	135	644	644	656	227	290	195
ascc1	91	182	79	107	91	159	514	514	3051	1289	2226	955
ascc2	339	347	266	170	122	252	1031	1031	346	125	260	119
ascc3	570	713	441	409	152	244	990	990	1099	376	807	436
asf1a	428	452	240	276	134	311	2154	2154	315	141	190	71
asf1b	148	123	58	66	80	257	1446	1446	139	45	26	22
asgl1	75	81	28	42	51	103	303	303	168	48	122	64
ash1l	344	387	230	308	142	218	893	893	732	164	615	303
ash2l	334	396	146	228	167	226	1139	1139	911	351	607	302
ashwn	372	565	296	314	146	181	656	656	236	51	173	72
asm	226	185	176	139	113	190	309	309	279	83	172	74
