	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
asm3a	323	166	358	145	147	430	2636	2636	1166	409	1141	539
asml	100	197	81	66	133	70	103	103	47	18	48	19
asnd1	340	472	344	290	176	247	1440	1440	205	58	232	75
asns	1139	1108	1145	769	188	598	5991	5991	2432	815	1697	767
aspc1	286	249	185	124	186	208	474	474	460	147	309	150
aspg	704	1271	1619	492	82	225	770	770	3347	1351	2602	1516
asph	195	345	560	172	139	301	2555	2555	314	92	217	94
aspm	570	720	697	474	104	432	3979	3979	765	197	158	96
aspp1	301	397	262	179	163	295	460	460	471	139	412	165
aspp2	240	250	162	183	110	151	345	345	499	139	230	173
aste1	191	204	133	119	32	46	185	185	92	47	58	21
asun	454	836	257	377	169	344	2358	2358	927	259	432	250
asxl1	747	1033	715	516	179	325	1351	1351	597	168	334	214
asxl2	320	468	220	312	123	248	1281	1281	888	280	542	344
at10a	132	35	35	20	102	77	124	124	257	78	138	105
at10d	1056	1305	1242	651	41	78	373	373	206	44	160	67
at11b	484	659	205	479	153	279	1461	1461	898	266	549	320
at11c	121	172	151	133	31	56	332	332	216	59	155	94
at131	274	314	238	184	200	242	432	432	418	129	234	120
at132	795	450	560	350	319	453	903	903	1391	355	808	381
at133	265	412	287	256	168	326	1899	1899	900	295	636	274
at1a1	1833	1553	1377	1037	639	1418	6576	6576	2673	839	1895	978
at1b3	373	369	299	256	166	274	988	988	722	313	576	247
at2a2	791	868	646	513	218	508	2266	2266	1166	337	965	470
at2a3	2427	2733	1503	1256	297	513	947	947	1376	328	505	320
at2b1	1158	1902	692	1142	245	388	1951	1951	2407	639	1376	661
at2b4	319	253	114	231	182	284	2175	2175	110	22	96	62
at2c1	1200	1727	1394	867	312	481	1335	1335	2350	702	1377	798
at2l2	1584	2005	1854	889	482	941	3635	3635	1093	434	676	403
at7l1	132	158	156	88	51	78	189	189	167	47	102	56
at7l2	68	93	112	52	37	28	48	48	111	31	43	24
at7l3	566	555	197	283	158	216	528	528	323	98	183	68
at8a1	443	471	222	278	26	67	408	408	236	75	113	89
at8b1	49	64	58	67	9	28	113	113	274	35	200	142
at8b2	1372	1458	919	798	369	556	1255	1255	717	166	507	247
at8b4	80	56	170	72	20	20	81	81	243	80	180	129
atad1	873	1504	866	727	221	308	1506	1506	1400	428	1276	499
atad2	275	289	144	233	119	209	1890	1890	944	356	383	238
atad3	289	377	212	184	127	223	548	548	278	84	264	107
atad5	222	274	170	159	29	79	1464	1464	209	64	79	55
atd2b	790	1174	1063	759	138	227	1362	1362	666	164	333	170
atf1	926	1544	1108	721	36	70	312	312	1164	440	772	357
atf2	1082	1605	1271	877	183	209	880	880	439	161	316	172
atf5	75	52	43	34	31	53	141	141	33	15	27	9
atf6a	245	422	166	226	95	221	1690	1690	769	227	886	420
atf6b	1011	1204	590	706	193	324	1041	1041	919	304	553	247
atf7	29	44	23	20	12	11	87	87	92	16	53	45
atg13	147	133	86	75	116	241	600	600	170	45	108	79
atg2a	256	270	246	156	291	385	820	820	362	102	198	131
atg2b	283	383	379	221	130	280	1088	1088	602	142	335	220
atg4a	387	660	400	334	201	321	1384	1384	1697	670	1227	420
atg4b	208	260	188	154	201	329	1503	1503	542	190	399	196
atg4c	552	765	299	406	124	210	871	871	150	55	178	64
atg5	396	523	424	267	80	128	403	403	368	116	296	129
atg7	134	117	77	73	50	97	263	263	441	156	284	134
atg9a	127	134	71	85	64	119	339	339	506	163	270	146
athl1	56	73	40	33	768	503	505	505	115	38	95	31
atl2	70	128	116	39	366	433	356	356	113	24	82	48
atl4	188	128	80	105	371	235	182	182	69	11	48	43
atla2	529	677	610	379	174	311	1748	1748	566	189	392	218
atla3	230	238	248	258	45	59	564	564	540	205	334	179
atm	343	444	384	322	134	216	846	846	660	172	507	260
atmin	178	205	295	90	23	34	156	156	409	133	191	148
atp5s	28	37	37	14	15	17	116	116	39	16	34	13
atp7a	31	59	8	34	45	117	598	598	147	34	141	81
atp9a	106	114	143	52	69	95	313	313	114	23	70	38
atp9b	150	126	65	76	41	101	386	386	163	27	120	66
atpa	7771	10327	8335	5948	1486	2861	13411	13411	10163	3515	4783	2813
atpb	5783	7224	5774	3880	1583	3063	16604	16604	14075	6072	9695	5208
atpf1	108	99	65	80	45	79	469	469	321	106	197	96
atr	536	1048	917	401	294	373	972	972	342	91	174	140
atrap	136	82	95	92	79	179	360	360	583	163	551	231
atrip	139	130	109	79	116	150	361	361	158	57	122	80
atrn	83	72	42	46	24	47	227	227	238	74	258	105
atrx	3074	3269	1685	2171	439	630	3174	3174	2093	604	1297	672
ats1	246	711	690	256	15	63	289	289	330	126	303	107
ats10	40	93	56	31	78	64	73	73	70	26	72	14
ats2	34	50	27	31	15	18	83	83	41	16	45	5
ats5	76	129	340	60	28	50	286	286	733	301	666	129
ats7	22	26	21	7	39	28	55	55	36	12	15	10
atx1	36	44	29	44	8	17	37	37	56	12	36	19
atx10	551	614	423	309	153	245	390	390	740	145	383	214
atx1l	67	60	42	47	20	25	163	163	105	17	87	47
atx2	48	46	30	36	40	73	354	354	183	45	117	86
atx2l	374	385	188	240	140	283	973	973	548	149	247	161
atx3	66	89	31	52	48	74	550	550	946	303	646	294
atx7	622	742	578	397	114	319	956	956	766	181	403	237
auhm	255	382	236	205	58	60	220	220	183	67	112	56
aunip	71	53	72	48	11	26	153	153	61	38	16	14
aup1	210	211	278	135	254	297	879	879	327	109	193	81
aurka	297	229	149	147	99	270	2102	2102	119	42	39	20
aven	45	43	66	27	54	49	106	106	76	24	49	29
avl9	186	186	120	93	62	127	379	379	283	79	138	113
avr2a	78	123	208	88	15	15	87	87	252	90	262	113
axn1	450	397	287	187	183	253	664	664	561	168	349	175
azi1	114	139	85	100	108	69	92	92	109	24	44	27
azi2	477	739	675	379	83	172	835	835	1610	583	1204	437
azin1	949	1144	643	557	364	736	4875	4875	1369	443	989	485
b2cl1	187	177	227	77	152	482	2296	2296	241	92	228	75
b2l11	51	45	60	30	29	37	141	141	23	9	22	12
b3a2	304	373	263	176	129	140	311	311	458	110	326	156
b3at	970	48	83	50	896	3339	40304	40304	110	10	531	15
b3ga3	250	323	194	127	91	131	213	213	320	98	299	94
b3gl2	200	193	109	183	150	290	1088	1088	1143	386	762	293
b3glt	188	239	201	204	49	128	555	555	209	69	85	57
b3gn1	114	125	76	64	42	94	213	213	131	58	83	33
b3gn2	1921	1828	1492	943	130	313	1663	1663	1106	327	777	397
b3gn5	281	349	76	166	77	91	541	541	59	18	40	27
b3gnl	54	52	37	40	11	12	33	33	28	8	29	11
b3gt4	114	114	57	55	5	21	45	45	126	45	73	37
b4gt1	359	403	183	290	322	692	2392	2392	329	83	217	136
b4gt2	122	137	134	66	16	23	58	58	36	15	37	7
b4gt3	112	130	75	59	148	212	457	457	125	34	67	37
b4gt4	82	169	118	39	28	36	61	61	46	8	41	11
b4gt5	173	64	19	76	203	648	3188	3188	351	89	365	210
b4gt6	431	322	98	203	18	19	105	105	50	10	11	15
b4gt7	91	87	72	52	82	139	334	334	228	97	200	79
bacd3	282	328	272	189	55	69	207	207	517	147	363	147
bace1	60	94	109	39	43	61	223	223	37	15	43	21
bace2	77	116	53	46	73	110	119	119	54	17	24	10
bach1	315	331	332	295	38	90	761	761	331	84	274	159
bach2	42	71	35	26	14	13	79	79	50	8	21	13
bad	33	18	31	14	34	52	112	112	82	22	65	27
bag3	47	45	41	30	39	107	132	132	150	47	85	39
bag4	198	289	100	161	79	100	398	398	528	213	404	144
bag5	98	107	52	75	49	81	426	426	243	60	159	84
bag6	955	860	565	462	281	502	1330	1330	1142	370	727	324
bahd1	176	155	84	93	97	142	224	224	105	23	66	22
baip2	53	42	23	49	9	16	18	18	86	36	56	30
baip3	252	303	224	136	269	270	338	338	654	207	551	215
bak	1353	1269	894	616	126	177	467	467	668	168	424	187
bakor	77	72	64	70	60	106	405	405	171	44	114	42
bank1	4063	7146	3330	3213	277	310	783	783	1776	439	486	330
banp	439	461	298	228	112	105	250	250	151	33	71	17
bap1	540	557	335	326	265	485	1667	1667	616	170	456	195
bap18	27	24	9	10	20	54	180	180	167	50	132	52
bap29	338	483	255	266	206	353	1904	1904	981	442	938	421
bap31	1169	1691	1372	845	151	449	1999	1999	2440	1046	1644	906
bard1	45	79	58	45	26	42	668	668	46	11	25	13
basi	337	382	422	215	689	1903	7522	7522	1660	657	1164	599
baz1a	2257	3152	1254	1820	273	437	2631	2631	2048	635	1233	661
baz1b	906	826	505	500	432	674	2947	2947	1011	288	587	344
baz2a	526	563	389	460	455	663	2033	2033	836	147	456	328
baz2b	372	578	442	341	440	632	2187	2187	353	80	271	145
bbs10	286	614	149	300	28	42	155	155	113	25	104	21
bbs2	256	333	207	165	64	78	319	319	349	133	231	114
bbs4	20	17	19	22	59	81	142	142	145	48	83	45
bbs5	55	84	57	47	11	10	100	100	101	37	66	28
bbs7	116	254	184	116	44	63	207	207	73	33	93	53
bbx	85	148	73	121	20	23	112	112	204	54	153	88
bc11a	159	204	115	100	41	48	224	224	83	20	41	22
bcam	92	128	68	68	65	148	259	259	173	51	167	56
bcap	647	662	171	398	189	390	1048	1048	1851	548	1845	963
bcar1	76	91	96	50	45	65	172	172	281	84	208	44
bcas3	117	113	75	67	42	88	368	368	248	76	156	92
bcat2	285	320	119	133	55	132	622	622	264	60	143	52
bcd1	89	113	73	65	93	143	636	636	279	78	210	91
bcdo2	40	55	30	32	11	24	56	56	601	297	215	196
bckd	81	125	83	57	88	162	632	632	278	88	165	71
bcl3	194	127	136	111	77	93	157	157	418	127	316	148
bcl6	163	145	91	109	62	97	231	231	294	68	177	137
bcl7b	140	181	207	73	31	61	195	195	38	17	51	17
bcl9l	390	301	95	202	108	141	217	217	227	40	119	64
bclf1	1123	1733	1447	1261	169	224	1674	1674	3796	1239	2427	1078
bcor	323	418	186	208	105	189	1072	1072	310	85	172	91
bcorl	92	101	18	35	5	14	31	31	61	14	38	13
bcr	305	692	902	230	175	179	479	479	663	199	816	298
bcs1	84	93	47	48	43	52	99	99	146	60	113	49
bd1l1	596	872	427	512	83	122	670	670	705	177	414	242
bdh	423	694	389	351	52	125	561	561	560	237	339	202
bdp1	197	255	71	190	52	47	419	419	150	40	126	56
becn1	1504	1919	2383	1040	338	493	1954	1954	1157	399	691	383
bet1	720	1315	395	600	96	152	650	650	740	272	667	249
bfar	278	220	164	161	99	164	602	602	212	46	158	56
bgal	227	155	205	185	118	329	951	951	781	266	501	294
bgh3	306	208	410	146	230	568	908	908	1418	677	1206	516
bglr	360	364	361	245	359	593	1101	1101	1354	498	815	714
bhe40	274	225	201	133	27	22	70	70	275	93	171	63
bhlh9	57	56	16	36	19	49	368	368	266	103	211	95
bicc1	119	353	511	152	4	11	30	30	1339	656	1986	629
bicd2	75	94	36	56	130	201	609	609	217	60	192	79
bicr1	357	370	129	163	76	86	106	106	128	35	42	31
bid	645	746	893	397	19	31	99	99	336	115	205	113
biea	704	958	1091	390	477	222	844	844	861	657	1024	701
big1	1072	1572	877	834	285	493	1968	1968	1127	350	738	439
big2	680	791	738	467	231	394	1201	1201	520	97	323	183
bin1	484	528	151	239	566	708	1067	1067	1011	308	409	214
bin3	129	126	75	78	69	105	266	266	242	72	155	63
binca	175	186	164	104	19	36	95	95	198	69	128	64
birc1	152	81	131	103	90	98	305	305	393	150	399	258
birc2	1259	1604	1142	858	432	682	2783	2783	937	273	547	304
birc6	1279	1562	1033	1011	369	591	2369	2369	2242	573	1378	879
bivm	498	905	401	428	169	291	1258	1258	506	122	224	122
blcap	200	220	172	134	131	224	496	496	389	114	286	143
blk	112	274	175	83	168	207	203	203	74	23	45	31
blm	230	176	167	106	113	281	2195	2195	370	108	152	118
blmh	600	723	649	494	253	431	1794	1794	1408	427	823	442
blnk	2377	3171	2695	1286	382	440	766	766	2169	517	1144	706
bmal1	80	121	102	90	39	50	194	194	173	35	101	67
bmi1	943	1365	860	655	143	289	752	752	1218	347	859	356
bmp1	68	130	140	80	65	56	118	118	90	18	37	12
bmp2k	2572	4391	2738	1734	207	304	2370	2370	331	106	273	148
bmpr2	167	172	190	140	17	28	233	233	530	168	324	146
bms1	986	1184	795	716	228	363	1471	1471	693	203	393	260
bmt2	585	987	806	547	95	159	552	552	1350	636	1002	455
bn3d2	68	60	38	40	33	73	308	308	29	13	18	10
bni3l	663	585	406	380	539	1835	13621	13621	1453	467	1502	475
bnip2	295	407	112	292	53	102	698	698	477	161	388	189
bop1	366	359	243	140	318	468	1235	1235	398	136	278	126
bora	134	203	107	111	16	61	748	748	245	100	117	52
borea	143	103	66	51	66	176	1174	1174	322	104	76	69
borg1	118	95	121	77	69	88	163	163	405	157	396	187
borg2	299	392	233	180	87	215	931	931	362	132	171	133
bpnt1	459	611	320	354	56	75	517	517	649	245	558	212
bptf	376	430	295	285	309	460	1459	1459	1053	244	523	337
brap	350	447	422	221	248	325	1207	1207	406	120	303	151
brat1	240	364	205	186	285	205	219	219	393	127	209	91
brca1	416	466	211	372	29	83	698	698	327	145	115	110
brca2	236	554	122	207	43	79	863	863	149	60	52	43
brcc3	1310	2044	1974	896	296	401	1780	1780	1190	360	737	293
brd1	415	516	336	269	50	114	371	371	375	100	205	103
brd2	2183	2443	1234	1147	887	1260	3024	3024	3001	861	1665	802
brd4	118	127	87	75	56	100	645	645	277	52	149	98
brd7	575	651	623	355	211	498	2087	2087	1005	270	512	308
brd8	431	557	464	298	235	315	1103	1103	459	114	226	134
brd9	520	713	548	426	201	228	738	738	578	205	399	225
BRE	197	190	144	132	80	136	477	477	569	218	361	236
bre1a	773	1021	854	559	345	532	3394	3394	2172	728	1276	797
bre1b	505	494	391	277	380	460	1614	1614	811	224	592	265
brf2	228	299	282	147	30	45	160	160	298	137	210	124
bri3b	102	127	69	53	67	169	607	607	77	34	32	27
brm1l	156	159	145	122	58	139	715	715	300	110	248	85
brms1	501	462	372	248	273	429	1235	1235	295	91	184	84
bromi	61	76	42	40	40	55	394	394	90	36	135	69
brox	2390	3144	2406	1670	374	665	3456	3456	92	24	94	40
brpf1	435	609	656	288	156	259	803	803	280	49	141	78
brpf3	167	177	89	90	104	194	698	698	351	88	187	104
brwd1	655	1323	683	628	164	298	1085	1085	498	118	320	173
brwd3	79	75	38	68	9	10	100	100	170	56	127	98
bscl2	323	428	322	202	86	156	389	389	303	106	197	109
bsdc1	393	382	145	174	339	917	5641	5641	689	204	625	206
bst1	163	238	183	139	43	81	309	309	54	13	39	35
bt3l4	499	913	417	430	53	103	707	707	764	261	509	248
btaf1	411	573	334	319	205	436	2373	2373	656	148	424	226
btbd1	654	769	999	484	234	385	1545	1545	660	254	554	207
btbd3	24	99	190	38	56	84	154	154	1515	434	1148	750
btbd6	283	295	358	152	119	153	351	351	106	27	67	22
btbd7	498	766	579	460	40	57	561	561	680	236	436	220
btbd9	97	96	70	60	34	51	152	152	97	37	65	39
btbda	382	524	585	337	123	241	1403	1403	261	65	159	44
btbdb	61	19	36	19	17	17	53	53	56	31	21	21
btd	155	283	163	141	46	86	216	216	62	26	59	25
btg1	8308	13934	9129	5236	1366	2480	6182	6182	12234	4329	5256	4336
btg3	21	49	58	14	67	86	249	249	238	61	181	55
btk	1724	3378	2106	1423	511	675	2826	2826	2486	908	1328	602
btla	625	767	244	343	89	169	385	385	132	39	55	59
bub1	477	798	467	331	177	315	3637	3637	381	125	87	83
bub1b	543	746	583	339	85	210	1996	1996	1540	529	414	219
bub3	665	690	565	486	246	480	3394	3394	1600	787	1074	456
byst	287	240	86	146	138	204	963	963	320	114	291	138
bzw1	3473	4829	2595	2935	1253	1674	10638	10638	8800	3285	6029	2978
bzw2	1416	1845	2206	1151	369	603	2921	2921	931	406	796	417
c102a	165	187	104	101	44	112	151	151	90	25	35	31
c170l	36	45	35	35	111	159	422	422	495	126	259	148
c19l1	510	758	452	397	66	86	363	363	458	193	413	141
c19l2	154	227	119	140	103	142	628	628	491	145	264	177
c1glc	385	702	405	287	88	187	1189	1189	641	212	615	190
c1qr1	10	12	19	17	33	78	454	454	222	75	219	196
c1qt1	298	491	277	185	41	101	155	155	159	58	176	55
c1r	1047	388	391	290	179	187	238	238	728	274	606	248
c1tc	667	815	410	475	117	296	1736	1736	732	246	961	305
c1tm	148	87	52	92	100	174	570	570	80	27	37	37
c2c2l	223	243	103	132	124	202	662	662	138	59	42	44
c2cd3	274	310	93	168	78	143	744	744	293	70	149	103
c2cd5	88	85	38	57	39	75	357	357	205	31	100	80
c2d1a	194	201	143	91	161	168	347	347	170	54	89	50
c2d1b	317	340	146	203	110	162	376	376	535	156	350	160
c2d2a	58	55	38	31	13	13	16	16	41	17	34	4
c2ta	392	541	83	248	264	385	460	460	643	176	294	173
c42s2	235	182	70	158	51	106	335	335	329	107	151	113
c43bp	1000	1286	930	819	72	100	613	613	242	53	213	79
c4bpa	1644	917	2785	431	994	2213	8752	8752	9834	8114	12431	4482
c5ar2	55	33	44	46	45	166	548	548	40	20	27	10
c8ap2	567	783	331	529	80	134	1510	1510	578	206	369	180
ca052	13	21	27	7	61	91	333	333	268	72	159	68
ca063	7364	11707	5928	6022	742	823	1825	1825	775	229	317	143
ca074	210	231	162	184	9	20	71	71	70	7	41	18
CA112	620	981	862	520	55	63	544	544	139	53	67	38
CA131	332	396	352	218	101	151	575	575	1331	505	774	450
CA159	25	57	38	28	13	7	26	26	114	39	75	37
ca2d2	58	35	29	33	23	34	98	98	102	30	34	32
cab39	3955	5507	4216	3024	279	541	1966	1966	4608	1601	2759	1611
cab45	836	1041	1102	505	466	875	2108	2108	1617	507	1158	654
cabin	312	272	158	200	71	149	883	883	367	124	226	126
cabl1	19	31	39	32	5	14	90	90	92	21	58	15
cabl2	143	189	205	94	196	182	799	799	7977	3417	5092	2254
caco1	142	141	137	72	75	168	665	665	224	54	103	68
caco2	2300	3139	2210	1661	411	744	2787	2787	4406	1549	3686	1319
cacp	82	126	88	53	168	270	1163	1163	172	66	180	54
cad11	164	190	70	104	30	48	120	120	179	73	137	53
cad13	38	53	58	38	71	64	55	55	226	56	233	55
cadh3	80	92	129	47	57	148	197	197	176	86	190	73
cadh5	13	36	51	23	139	351	948	948	1480	383	1269	449
caf17	162	165	118	82	50	150	678	678	242	73	134	104
caf1a	224	143	129	87	64	167	870	870	180	62	44	52
caf1b	123	101	119	65	61	154	620	620	148	60	23	32
cah13	199	59	82	161	13	17	65	65	221	56	91	68
cah2	1488	77	94	130	1564	6399	60578	60578	247	43	456	32
cah3	130	1694	299	278	364	168	420	420	154	28	11	1
cah8	1658	4264	2766	1762	31	46	65	65	63	15	63	24
cahm2	492	557	163	333	103	117	190	190	288	91	160	101
cald1	217	299	182	189	79	134	615	615	183	53	234	83
calm	14311	22641	14704	12239	2202	4096	23653	23653	33915	12938	16270	8327
calr	3477	3111	2527	1706	532	1645	4925	4925	1363	473	1209	600
calrl	593	1428	654	646	17	34	266	266	84	29	60	10
calu	1355	1960	2525	1127	275	737	3796	3796	2458	871	1974	891
calx	1299	1514	1035	1364	402	950	6063	6063	1946	561	1822	834
camp1	138	199	80	81	92	139	498	498	259	59	143	84
camp2	702	1000	875	588	346	558	2565	2565	1046	356	692	326
can1	1573	1263	892	805	334	788	2793	2793	1076	294	529	315
can10	166	214	126	81	61	73	133	133	188	53	86	59
can15	97	95	96	74	58	110	246	246	198	46	87	64
can2	512	259	378	311	99	107	341	341	1276	246	502	256
can5	70	49	22	32	144	209	780	780	27	4	24	12
can7	547	786	490	388	81	158	860	860	696	216	658	194
canb1	1112	1412	944	744	172	424	1776	1776	1169	394	707	363
cand1	2379	3489	1981	2076	385	663	4427	4427	3091	1017	2297	980
cant1	363	312	212	195	36	69	166	166	321	85	181	114
cap1	2080	1896	459	1286	787	1258	4246	4246	8645	3134	6602	3408
capr1	4393	5487	3249	3346	784	1336	6710	6710	4924	1843	3402	1772
capr2	129	150	81	74	75	137	655	655	143	41	97	55
caps2	45	97	138	47	25	35	153	153	115	38	98	35
capzb	902	779	428	487	229	579	1437	1437	2694	799	1871	877
car10	26	53	40	23	9	14	17	17	108	42	111	52
car11	1519	1990	1188	819	99	125	190	190	538	118	185	130
card6	255	283	29	216	55	69	242	242	75	8	77	14
card9	87	34	45	82	165	139	224	224	230	96	133	78
carf	951	1444	1070	683	129	272	1038	1038	748	211	489	181
carm1	432	491	275	199	45	98	441	441	145	35	130	50
cartf	46	79	34	35	9	17	100	100	89	26	60	30
casc3	830	830	704	474	188	372	1372	1372	1126	313	753	354
casc4	80	119	84	55	23	69	231	231	371	121	308	155
casc5	302	366	391	263	161	440	6522	6522	1050	308	353	214
casd1	454	959	393	432	33	55	528	528	613	197	450	141
casl	1603	1993	888	1208	84	123	391	391	690	171	369	275
casp	1028	933	871	526	259	431	807	807	806	250	861	323
casp1	903	1152	434	602	238	280	416	416	1793	894	1578	639
casp3	1516	2107	1079	1202	184	248	1720	1720	2076	744	1270	717
casp5	357	323	134	154	62	144	264	264	374	257	470	115
casp6	323	473	288	277	50	101	257	257	158	51	91	49
casp7	328	364	290	224	41	44	163	163	331	89	202	108
casp8	889	1388	754	640	213	297	977	977	396	108	290	131
casp9	106	95	43	53	53	71	85	85	336	81	138	93
cata	1281	1351	913	722	405	1324	10153	10153	5203	1844	3581	1464
catb	3244	1827	3648	1167	420	1588	5101	5101	8976	3242	6003	2750
